Row,PolID,NGA,Region,UTM,NorthofTropicofCancer,NorthernRegion,InNorthernRegion,OldWorld,Time,TimeK,Age,AgeK,CoolingPeriod,PC1
1,Hawaii1,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1000,1,0,0,0,-4.446035378
2,Hawaii2,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1200,1.2,200,0.2,0,-4.141249353
3,Hawaii2,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1300,1.3,300,0.3,1,-4.026193497
4,Hawaii2,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1400,1.4,400,0.4,1,-3.851952245
5,Hawaii2,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1500,1.5,500,0.5,1,-3.642160621
6,Hawaii2,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1600,1.6,600,0.6,0,-4.257223283
7,Hawaii3,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1700,1.7,700,0.7,0,-2.495818111
8,USKameh,Big Island Hawaii,Oceania-Australia,4-5Q,0,No,0,0,1800,1.8,800,0.8,0,-2.318581531
9,USMisEW,Cahokia,North America,15S,1,North America,1,0,-600,-0.6,0,0,0,-5.605152053
10,USMisMW,Cahokia,North America,15S,1,North America,1,0,-100,-0.1,500,0.5,0,-5.597972813
11,USMisRo,Cahokia,North America,15S,1,North America,1,0,300,0.3,900,0.9,1,-5.670294436
12,USMisMu,Cahokia,North America,15S,1,North America,1,0,500,0.5,1100,1.1,1,-5.560312914
13,USMisPa,Cahokia,North America,15S,1,North America,1,0,600,0.6,1200,1.2,0,-5.537711604
14,USMisSp,Cahokia,North America,15S,1,North America,1,0,800,0.8,1400,1.4,0,-4.699048815
15,USMisME,Cahokia,North America,15S,1,North America,1,0,900,0.9,1500,1.5,0,-4.127710105
16,USMisME,Cahokia,North America,15S,1,North America,1,0,1000,1,1600,1.6,0,-3.986544569
17,USCahoE,Cahokia,North America,15S,1,North America,1,0,1100,1.1,1700,1.7,0,-2.614589283
18,USCahoL,Cahokia,North America,15S,1,North America,1,0,1200,1.2,1800,1.8,0,-2.598691913
19,USMisSd,Cahokia,North America,15S,1,North America,1,0,1300,1.3,1900,1.9,1,-3.05590993
20,USOneot,Cahokia,North America,15S,1,North America,1,0,1400,1.4,2000,2,1,-4.20945232
21,KhFunaE,Cambodian Basin,Southeast Asia,48P,0,No,0,1,300,0.3,0,0,1,0.77427739
22,KhFunaL,Cambodian Basin,Southeast Asia,48P,0,No,0,1,600,0.6,300,0.3,0,0.709476203
23,KhChenl,Cambodian Basin,Southeast Asia,48P,0,No,0,1,700,0.7,400,0.4,0,1.518716461
24,KhChenl,Cambodian Basin,Southeast Asia,48P,0,No,0,1,800,0.8,500,0.5,0,1.728749714
25,KhAngkE,Cambodian Basin,Southeast Asia,48P,0,No,0,1,900,0.9,600,0.6,0,2.633332129
26,KhAngkE,Cambodian Basin,Southeast Asia,48P,0,No,0,1,1000,1,700,0.7,0,2.501910424
27,KhAngkC,Cambodian Basin,Southeast Asia,48P,0,No,0,1,1100,1.1,800,0.8,0,2.595942977
28,KhAngkL,Cambodian Basin,Southeast Asia,48P,0,No,0,1,1300,1.3,1000,1,1,2.307972125
29,KhCambd,Cambodian Basin,Southeast Asia,48P,0,No,0,1,1500,1.5,1200,1.2,1,2.266084717
30,ThAyuth,Cambodian Basin,Southeast Asia,48P,0,No,0,1,1600,1.6,1300,1.3,0,2.285620399
